source,target,weight
5042,4720,1
5042,4956,1
5042,9149,1
5042,8875,1
5042,4356,1
5042,6231,1
5042,9321,1
5042,1587,1
5042,4076,1
5042,908,1
5042,3733,1
5042,9268,1
5042,3241,1
5042,2191,1
5042,9557,1
5042,92,1
5042,2363,1
5042,6912,1
5042,3196,1
5042,7852,1
3214,6968,1
3214,5597,1
3214,7034,1
3214,3286,1
3214,9797,1
3214,9125,1
3214,6131,1
3214,8921,1
3214,2467,1
3214,5203,1
3214,1644,1
3214,5695,1
3214,6137,1
3214,9072,1
3214,6396,1
3214,3015,1
5939,7049,1
5939,4656,1
5939,8213,1
5939,719,1
5939,3575,1
5939,7301,1
5939,6576,1
5939,2305,1
5939,2063,1
5939,334,1
5939,5990,1
5939,1585,1
5939,8199,1
5939,3801,1
5939,5331,1
5939,6642,1
5939,3216,1
5939,4885,1
5939,4450,1
5939,7050,1
5939,6643,1
5939,617,1
5939,8717,1
5939,10270,1
5939,8271,1
5939,9320,1
5939,6714,1
5939,7055,1
5939,3258,1
5939,1694,1
5939,1898,1
5939,6102,1
5939,9761,1
5939,9558,1
5939,3859,1
5939,2944,1
5939,5232,1
5939,6230,1
5939,6649,1
5939,5727,1
5939,2352,1
5939,6884,1
5939,3966,1
5939,841,1
5939,9856,1
5939,9473,1
5939,6004,1
5939,5347,1
5939,4520,1
5939,5545,1
5939,1659,1
5939,3774,1
5939,5990,1
5939,1585,1
5939,243,1
5939,8325,1
5939,1874,1
5939,8619,1
5939,7469,1
5939,1101,1
5939,7638,1
5939,778,1
5939,9031,1
5939,2652,1
5939,6762,1
5939,4382,1
5939,2366,1
5939,1323,1
5939,1779,1
5939,3476,1
5939,8379,1
5939,3696,1
5939,813,1
5939,8738,1
5939,9400,1
5939,8823,1
5939,7524,1
5939,6643,1
5939,10073,1
5939,7176,1
5939,946,1
5939,4400,1
5939,327,1
5939,7039,1
5939,9213,1
5939,9731,1
5939,719,1
5939,2063,1
5939,1585,1
5939,7176,1
5939,9211,1
5939,8271,1
9118,4415,1
9118,3709,1
9118,7564,1
9118,6735,1
9118,6436,1
9118,4268,1
9118,2479,1
9118,3154,1
9118,4539,1
9118,3243,1
9118,2263,1
9118,5886,1
9118,2039,1
9118,5229,1
9118,803,1
9118,3023,1
9118,2315,1
9118,1344,1
9118,3821,1
9118,6881,1
9118,7131,1
9118,3709,1
9118,2606,1
9118,5500,1
9118,9636,1
9118,9999,1
9118,7564,1
9118,9147,1
9118,308,1
9118,6575,1
9118,8203,1
1428,7449,1
1428,3279,1
1428,7359,1
1428,1642,1
1428,7451,1
1428,4895,1
1428,498,1
1428,1666,1
1428,7806,1
1428,3620,1
1428,2045,1
1428,6136,1
1428,7674,1
1428,7947,1
1428,3649,1
1428,4751,1
1428,5108,1
1428,6663,1
1428,835,1
1428,979,1
1428,6185,1
1428,10020,1
