,Id,Label,timeset,index,componentnumber,modularity_class,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,dg,closeness,between
35,35,prosecution,,35.0,0,9,6e-06,6e-06,9,11,20,0.242581,0.251765,0.0,0.00106167358363092,0.256633091118108,0.00106167358363092
36,36,queasy,,36.0,0,14,0.00023199999999999997,0.0,23,0,23,0.0,0.0,0.0,0.00221986294759193,0.286043185094292,0.00221986294759193
37,37,genealogy,,37.0,0,3,0.00015900000000000002,0.000175,12,14,26,0.272278,0.284982,0.0,0.00135122092462117,0.2880209015041,0.00135122092462117
38,38,powerfully,,38.0,0,8,0.000321,0.0,24,0,24,0.0,0.0,0.0,0.00231637872792201,0.272119629028067,0.00231637872792201
39,39,sinking,,39.0,0,9,0.000106,0.0,9,0,9,0.0,0.0,0.0,0.000579094681980503,0.280749543889629,0.000579094681980503
40,40,logical,,40.0,0,12,0.000288,0.0,13,0,13,0.0,0.0,0.0,0.000965157803300839,0.290850836600522,0.000965157803300839
41,41,death,,41.0,0,9,0.000363,0.0,28,0,28,0.0,0.0,0.0,0.00231637872792201,0.299475946199686,0.00231637872792201
42,42,experience,,42.0,0,4,0.000144,0.00010700000000000001,14,18,32,0.283396,0.296647,6340.798369,0.00183379982627159,0.296145097206552,0.00183379982627159
43,43,ordinary,,43.0,0,11,0.00011200000000000001,0.0,10,0,10,0.0,0.0,0.0,0.000772126242640671,0.273510052844715,0.000772126242640671
44,44,flinty,,44.0,0,12,0.000234,0.000239,20,27,47,0.275839,0.290897,4825.821418,0.00231637872792201,0.295087738247659,0.00231637872792201
45,45,canty,,45.0,0,8,9.1e-05,0.0,9,0,9,0.0,0.0,0.0,0.000868642022970755,0.248784417378282,0.000868642022970755
46,46,reiterate,,46.0,0,24,4e-06,0.0,9,0,9,0.0,0.0,0.0,0.000868642022970755,0.249571728857363,0.000868642022970755
47,47,nauseous,,47.0,0,11,0.0008529999999999999,0.0008300000000000001,36,40,76,0.285178,0.301253,14227.059494,0.00386063121320335,0.298688033886046,0.00386063121320335
